number,name,zipcode,area,location,lat,lng,category,note
135,さわだ歯科クリニック,657-0051,灘区,兵庫県神戸市灘区八幡町4-5-8-1F,34.717918,135.234241,医療関連施設,対応不可
136,高塚クリニック,657-0051,灘区,神戸市灘区八幡町2-8-7-2F,34.719295,135.236694,医療関連施設,対応不可
137,槙村医院,657-0059,灘区,神戸市灘区篠原南町1-1-13,34.71677,135.232266,医療関連施設,対応不可
138,坪井医院,657-0023,灘区,神戸市灘区高羽町5-4-28,34.72198,135.238287,医療関連施設,対応不可
139,田中医院,657-0051,灘区,神戸市灘区八幡町1-8-15,34.719982,135.237206,医療関連施設,対応不可
140,石黒歯科医院,657-0838,灘区,神戸市灘区王子町1-3-14-2F,34.710587,135.21912,医療関連施設,対応不可
141,いわくら耳鼻咽喉科,657-0037,灘区,神戸市灘区備後町5-3-1,34.71348,135.237553,医療関連施設,対応不可
142,小田泌尿器科,657-0028,灘区,神戸市灘区森後町3-5-30,34.716456,135.236665,医療関連施設,対応不可
143,辻整形外科医院,657-0834,灘区,神戸市灘区泉通1-2-5,34.711459,135.228583,医療関連施設,対応不可
144,六甲八幡神社,657-0051,灘区,神戸市灘区八幡町3-6-5,34.719174,135.235283,その他,24時間利用可
145,神戸市環境局 灘事業所,657-0041,灘区,神戸市灘区琵琶町2-1-2,34.711346,135.236581,官公庁,対応不可
146,メイン六甲Aビル 管理組合,657-0038,灘区,神戸市灘区深田町4-1-39,34.71501,135.23917,集合住宅,対応不可
147,神戸市環境局自動車管理事務所 東部車庫,657-0041,灘区,神戸市灘区琵琶町2-1-2,34.71124,135.236425,官公庁,対応不可
148,メッチャライト館,657-0831,灘区,神戸市灘区水道筋4-1-16,34.712097,135.22275,商業施設,対応不可
149,財団法人 神戸市開発管理事業団 鶴甲会館,657-0011,灘区,神戸市灘区鶴甲5丁目1番6号,34.736925,135.237452,集会場・ホール,対応不可
150,六甲山郵便局,657-0101,灘区,神戸市灘区六甲山町南六甲1034-144,34.756159,135.228085,商業施設,対応不可
152,パチンコ ジョイタイム,657-0036,灘区,神戸市灘区桜口町4-5-11,34.71313,135.240019,商業施設,対応不可
153,パチンコパーラー大洋,657-0027,灘区,神戸市灘区永手町4-2-1,34.71552,135.238004,商業施設,対応不可
154,メッチャはんくら,657-0831,灘区,神戸市灘区水道筋2-16-3,34.713154,135.224902,商業施設,対応不可
155,神戸市立王子地域福祉センター,657-0825,灘区,神戸市灘区中原通7-5-1,34.711399,135.219004,小集会場・公民館・地域福祉センター,対応不可
156,神戸市立岩屋地域福祉センター,657-0846,灘区,神戸市灘区岩屋北町2-5-3,34.706203,135.221077,小集会場・公民館・地域福祉センター,対応不可
157,神戸市立なぎさ地域福祉センター,657-0855,灘区,神戸市灘区摩耶海岸通2-3-4,34.702123,135.220998,小集会場・公民館・地域福祉センター,対応不可
158,神戸市立篠原地域福祉センター,657-0068,灘区,神戸市灘区篠原北町2-2-37,34.722504,135.228399,小集会場・公民館・地域福祉センター,対応不可
159,神戸市立六甲地域福祉センター,657-0051,灘区,神戸市灘区八幡町4丁目8-28,34.718692,135.233589,小集会場・公民館・地域福祉センター,対応不可
160,神戸市立西灘保育所,657-0846,灘区,神戸市灘区岩屋北町2丁目5-29,34.706523,135.221162,学校・園・児童館,対応不可
161,パチンコBAGUZY,657-0038,灘区,神戸市灘区深田町4丁目1-45,34.714021,135.239653,商業施設,対応不可
162,神戸市立六甲道児童館,657-0038,灘区,神戸市灘区深田町4丁目1-39-401,34.714534,135.239,学校・園・児童館,対応不可
163,神戸市立石屋川保育所,657-0031,灘区,神戸市灘区大和町4丁目4-18,34.717043,135.244421,学校・園・児童館,対応不可
164,プレミオ岩屋店,657-0845,灘区,神戸市灘区岩屋中町1-2-1,34.703926,135.223622,商業施設,対応不可
165,フェニックス新在家店,657-0861,灘区,神戸市灘区新在家北町1丁目1-30,34.710305,135.240301,商業施設,対応不可
166,フェニックスプラザ摩耶,657-0851,灘区,神戸市灘区味泥町6-1,34.704045,135.228535,商業施設,対応不可
167,神戸市立倉石保育所,657-0826,灘区,神戸市灘区倉石通4丁目1-10,34.712754,135.221747,学校・園・児童館,対応不可
168,日清鋼業株式会社,657-0846,灘区,神戸市灘区岩屋北町4-4-1,34.705095,135.218986,会社・事業所,対応不可
169,神戸市立やはた桜保育所,657-0051,灘区,神戸市灘区八幡町2-1-1,34.717918,135.237653,学校・園・児童館,対応不可
171,株式会社協邦グループMETORO,657-0035,灘区,神戸市灘区友田町4-4-3,34.712057,135.240203,商業施設,対応不可
172,神戸市立河原児童館,657-0055,灘区,神戸市灘区上河原通4-1-1,34.711304,135.230759,学校・園・児童館,対応不可
173,神戸市桜ヶ丘保育所:鶴甲分室,657-0011,灘区,神戸市灘区鶴甲1丁目3-13,34.732053,135.238924,学校・園・児童館,対応不可
174,神戸市立原田児童館,657-0838,灘区,神戸市灘区王子町2-3-1,34.711198,135.218524,学校・園・児童館,対応不可
175,神戸市立上野児童館,657-0821,灘区,神戸市灘区赤坂通6-1-18,34.715224,135.218266,学校・園・児童館,対応不可
176,神戸市立灘保育所,657-0864,灘区,神戸市灘区新在家南町5丁目13番15号,34.705094,135.233492,学校・園・児童館,対応不可
177,神戸市立灘児童館,657-0864,灘区,神戸市灘区新在家南町5丁目13-15,34.705148,135.233443,学校・園・児童館,対応不可
178,神戸市立鶴甲児童館,657-0011,灘区,神戸市灘区鶴甲5-1-37,34.736457,135.237849,学校・園・児童館,対応不可
179,神戸市立都児童館,657-0052,灘区,神戸市灘区神前町2-3-12,34.716453,135.233735,学校・園・児童館,対応不可
180,神戸市立稗田学童保育コーナー,657-0833,灘区,神戸市灘区大内通5丁目1-8,34.710665,135.223572,学校・園・児童館,対応不可
181,神戸市立成徳学童保育コーナー,657-0032,灘区,神戸市灘区中郷町3丁目1-12,34.715762,135.245586,学校・園・児童館,対応不可
182,神戸市立成徳地域福祉センター,657-0037,灘区,神戸市灘区備後町1丁目3,34.715711,135.242546,小集会場・公民館・地域福祉センター,対応不可
183,神戸市立新在家地域福祉センター,657-0864,灘区,神戸市灘区新在家南町3丁目2-25,34.70566,135.236598,小集会場・公民館・地域福祉センター,対応不可
184,神戸市立高羽地域福祉センター,657-0024,灘区,神戸市灘区楠丘町4丁目1-16,34.720373,135.241066,小集会場・公民館・地域福祉センター,対応不可
185,神戸市立摩耶地域福祉センター,657-0823,灘区,神戸市灘区天城通3丁目3-7,34.715152,135.221761,小集会場・公民館・地域福祉センター,対応不可
186,神戸市立鶴甲地域福祉センター,657-0011,灘区,神戸市灘区鶴甲2丁目10-1,34.73344,135.236162,小集会場・公民館・地域福祉センター,対応不可
187,神戸市立灘地域福祉センター,657-0056,灘区,神戸市灘区千旦通1丁目5-2,34.713302,135.232098,小集会場・公民館・地域福祉センター,対応不可
188,神戸市立西郷地域福祉センター,657-0843,灘区,神戸市灘区大石北町8-1,34.706924,135.231562,小集会場・公民館・地域福祉センター,対応不可
189,神戸市立六甲山地域福祉センター,657-0101,灘区,神戸市灘区六甲山町西谷山 1878-133,34.753978,135.237325,小集会場・公民館・地域福祉センター,対応不可
190,神戸市立篠原児童館,657-0068,灘区,神戸市灘区篠原北町2丁目2-37,34.722406,135.228521,学校・園・児童館,対応不可
191,神戸海星女子学院小学校,657-0805,灘区,神戸市灘区青谷町2丁目7-1,34.712232,135.211968,学校・園・児童館,対応不可
